09:42 RestInPeace  : omfg
14:48 Mester_Arya  : /msg aryan9595 bia bekan enaro digeeeeeeee 
14:48 Mester_Arya  : /msg aryan9595 xD 
14:48 aryan9595    : /msg Mester_Arya dobal spawneram vastaaaaaa 
14:48 Mester_Arya  : /msg aryan9595 dalghak 2 ta pick to kite hast 
14:49 aryan9595    : /msg Mester_Arya zombie vilager 
14:49 Mester_Arya  : /msg aryan9595 migi 1 done daram 
14:49 aryan9595    : /msg Mester_Arya man az hame 2 ta gereftam ama alan nistttttt 
14:49 Mester_Arya  : /msg aryan9595 :/ 
14:51 aryan9595    : /msg Mester_Arya spawner spider 
14:52 Mester_Arya  : /msg aryan9595 bruh 
14:55 Mester_Arya  : /msg aryan9595 spawn egg villager 100k :/ 
14:55 aryan9595    : /msg Mester_Arya haji ye cave god pada kardam 
14:56 Mester_Arya  : /msg aryan9595 tosh pre irone 
14:57 Mester_Arya placed suspicious WATER_BUCKET @ wild: x-1381, z-37
15:00 kasraILOLI   : server restarting.................
15:00 kasraILOLI   : server restarting.................
15:00 Mester_Arya  : :/
15:00 kasraILOLI   : server restarting.................
19:11 Mester_Arya: LD_AMIR
19:23 Mester_Arya placed suspicious WATER_BUCKET @ wild: x-1335, z13
22:19 kasraILOLI : bia ts
22:19 RichPlant  : nemitonam
22:19 RichPlant  : to discord toye voiceam
22:20 kasraILOLI : ok
22:20 RichPlant  : sharmane :>
22:20 RichPlant  : man miram sham miam
22:20 kasraILOLI : moshkeli to server paida kardi?
22:20 kasraILOLI : server ro mikham rest bedam
22:28 kasraILOLI: rich
22:28 RichPlant : janam
22:28 kasraILOLI: hoy
22:28 RichPlant : e
22:28 RichPlant : damet garm :D
22:28 kasraILOLI: ./buyclaimblocksm
22:28 kasraILOLI: test kon
22:28 kasraILOLI: ./buyclaimblock
22:29 RichPlant : YA KHODA
22:29 RichPlant : CHEKHARD GEROON
22:29 kasraILOLI: okay bod?
22:29 RichPlant : are
22:29 RichPlant : 100 ta kharidam 5k
22:29 kasraILOLI: kamesh mikonam
22:29 RichPlant : hale
23:52 coolhossein: mahdimzl pool bde mahdi 10k starter hichi nadad
23:52 coolhossein: mahdi
23:52 mahdimzl   : ok
23:52 mahdimzl   : ok
23:52 coolhossein: merci
23:52 mahdimzl   : team speak khasti bia
23:53 coolhossein: okie
23:53 mahdimzl   : ts.xcitygame.com
23:53 mahdimzl   : server khobe ?
23:53 coolhossein: are
23:54 coolhossein: player haj agh mikhay che koni
